"Election ID","Election Name","Society ID","Society Name","Election Start Date","Election End Date"
965,"LUUMS Exec Committee 2023/24",219,"LUUMS (Music)","2023-05-08 00:00:00","2023-05-12 19:00:00"
966,"Dancesport AGM 2023",99,"Dancesport (Ballroom and Latin)","2023-04-16 08:00:00","2023-04-22 23:00:00"
967,"SLAVSOC Elections AGM 2023",305,"Russian and Slavonic","2023-04-12 00:00:00","2023-04-25 23:59:00"
968,"Squash AGM 2023",334,"Squash and Racketball","2023-05-05 10:00:00","2023-05-26 09:00:00"
969,"Amnesty International AGM 2023",13,"Amnesty International","2023-05-01 12:01:00","2023-05-09 12:00:00"
970,"LSTV Elections 2023",217,LSTV,"2023-05-08 00:01:00","2023-05-14 23:59:00"
972,"LMDBC - Medics and Dentists' Badminton",494,"Leeds Medics and Dentists Badminton Club (LMDBC), (Medics and Dentists)","2023-04-12 00:01:00","2023-04-23 23:59:00"
973,"St John Ambulance 2023 AGM",337,"St. John Ambulance","2023-04-15 00:00:00","2023-04-29 00:00:00"
974,"Salsa Society AGM 2023/24",307,Salsa,"2023-05-08 12:01:00","2023-05-16 12:00:00"
975,"German Society, AGM, May 2023",138,German,"2023-05-16 12:00:00","2023-05-21 12:00:00"
976,"Debating AGM 2023",102,Debating,"2023-05-01 15:00:00","2023-05-14 15:00:00"
977,"Remaining committee places 23/24",497,"Falcons Cheerleading Society (MSRC)","2023-05-03 00:00:00","2023-05-05 17:00:00"
978,"UoLMCC 2023 AGM",90,"Cricket (m)","2023-05-09 17:30:00","2023-05-14 15:30:00"
979,"Hong Kong Society AGM",162,"Hong Kong","2023-05-20 11:00:00","2023-05-30 17:00:00"
980,"Bhangra society elections",45,"Bhangra Dance Society","2023-06-30 08:00:00","2023-07-07 23:59:00"
981,"Leeds Marrow AGM 22/23",201,"Leeds Marrow","2023-05-01 09:00:00","2023-05-07 17:00:00"
982,"SSAFE AGM 2023/24",336,"SSAFE (Suicide Support and Awareness for Everyone)","2023-04-24 00:01:00","2023-04-30 23:45:00"
983,"Sexpression AGM",314,Sexpression,"2023-04-24 00:01:00","2023-04-30 23:59:00"
984,"Cross Country AGM 2023",93,"Cross Country","2023-05-15 00:00:00","2023-05-21 23:59:00"
985,"FoBSoc Elections 2023/24",121,"Faculty of Biological Sciences (FoBSoc)","2023-05-17 09:01:00","2023-05-31 09:00:00"
986,"Pantomime Society AGM Additional Elections 2023",273,Pantomime,"2023-04-04 14:03:00","2023-04-05 14:03:00"
987,"Election 2023/24",247,"Muay Thai","2023-05-01 15:18:00","2023-06-30 15:18:00"
988,"LGBT+ Society AGM",210,LGBT,"2023-04-16 12:01:00","2023-04-23 12:00:00"
989,"Lippy Magazine Elections",214,Lippy,"2023-05-02 12:00:00","2023-05-07 12:00:00"
990,"Football Fans Society AGM",507,"The Football Fans Society","2023-05-01 00:01:00","2023-05-21 20:00:00"
991,"Japanese Society AGM 2023",180,Japanese,"2023-05-01 00:00:00","2023-05-06 23:59:00"
992,"Archery AGM May 2023",20,Archery,"2023-05-08 00:00:00","2023-05-14 23:59:00"
993,"Psyched AGM",288,"Psyched (Psychiatry)","2023-04-13 01:00:00","2023-04-17 23:59:00"
